,sample,Artist,Song,Genre,Year,Decade,Era,Lyrics,compress_len,original_len,compress_score
0,1,Blondie,Call Me,Rock,1980,1980's,Early 80's,Colour me your colour baby Colour me your car Colour me your colour darling I know who you are Come up off your colour chart I know where you're comin' from Call me call me on the line Call me call me any anytime Call me call me my love You can call me any day or night Call me Cover me with kisses baby Cover me with love Roll me in designer sheets I'll never get enough Emotions come I don't know why Cover up love's alibi Call me call me on the line Call me call me any anytime Call me call me oh my love When you're ready we can share the wine Call me Ooo oo oo oo oo he speaks the languages of love Ooo oo oo oo oo amore chiamami chiamami Ooo oo oo oo oo appelle moi mon cherie appelle moi Anytime anyplace anywhere any way Anytime anyplace anywhere any day ay Call me call me my love Call me call me any anytime Call me call me for a ride Call me call me for some overtime Call me call me my love Call me call me in a sweet design Call me call me call me for your lover's lover's alibi Call me call me on the line Call me call me any anytime Call me call me Oh call me oo hoo hah Call me call me my love Call me call me any anytime,461,1137,0.594547053649956
1,2,Pink Floyd,Another Brick In The Wall,Rock,1980,1980's,Early 80's,We don't need no education We don't need no thoughts control No dark sarcasms in the classroom Teacher leave them kids alone Hey People Leave Juggalos alone Yeah Yeah All in all were just another brick in the wall The wall YEAH All in all were just another brick in the wall The wall The wall yeah We don't need no education Juggalos across the nation All together standing tall Shangri la awaits us all Yeah awaits us all Hey People Leave Juggalos alone Yeah Yeah All in all were just another brick in the wall The wall yeah All in all were just another brick in the wall The wall The wall yeah Yeah If I was a wall I would get knocked down We don't need no education Juggalos across the nation All together standing tall Shangri la awaits us all You will never die alone Hey People Leave Juggalos alone All in all were just another brick in the wall All in all were just another brick in the wall,399,898,0.5556792873051225
2,3,Olivia Newton-John,Magic,Rock,1980,1980's,Early 80's,Come take my hand You should know me I've always been in your mind You know that I'll be kind I'll be guiding you Building your dream Has to start now There's no other road to take You won't make a mistake I'll be guiding you You have to believe we are magic Nothin' can stand in our way You have to believe we are magic Don't let your aim ever stray And if all your hopes survive Your destiny will arrive I'll bring all your dreams alive For you From where I stand You are home free The planets align so rare There's promise in the air And I'm guiding you Through every turn I'll be near you I'll come anytime you call I'll catch you when you fall I'll be guiding you You have to believe we are magic Nothin' can stand in our way You have to believe we are magic Don't let your aim ever stray And if all your hopes survive Your destiny will arrive I'll bring all your dreams alive For you,439,889,0.5061867266591676
3,4,Michael Jackson,Rock With You,R&B,1980,1980's,Early 80's,Girl close your eyes Let that rhythm get into you Don't try to fight it There ain't nothin' that you can do Relax your mind Lay back and groove with mine You got to feel the heat And we can ride the boogie Share that beat of love I wanna rock with you all night Dance you into day sunlight I wanna rock with you all night We're gonna rock the night away Out on the floor There ain't nobody there but us Girl when you dance There's a magic that must be love Just take it slow 'Cause we got so far to go When you feel that heat And we're gonna ride the boogie Share that beat of love I wanna rock with you all night Dance you into day sunlight I wanna rock with you all night We're gonna rock the night away And when the grove is dead and gone yeah You know that love survives So we can rock forever on I wanna rock with you I wanna groove with you I wanna rock with you I wanna groove with you I wanna rock all night with you girl sunlight Rock with you rock with you girl yeah all night Dance the night away I wanna rock with you yeah all night,481,1044,0.539272030651341
4,5,Bette Midler,The Rose,Pop,1980,1980's,Early 80's,Some say Love It is a river That drowns the tender reed Some say Love It is a razor That leaves your soul to bleed Some say Love It is a hunger An endless aching need I say Love It is a flower And you its only seed It's the heart afraid of breaking That never learns to dance It's the dream afraid of waking That never takes the chance It's the one who won't be taken Who cannot seem to give And the soul afraid of dyin' That never learns to live When the night has been too lonely And the road has been too long And you think that love is only For the lucky and the strong Just remember in the winter Far beneath the bitter snows Lies the seed that with the sun's love In the spring becomes the rose,370,700,0.4714285714285714
5,6,Kim Carnes,Bette Davis Eyes,Rock,1981,1980's,Early 80's,Her hair is Harlow gold Her lips sweet surprise Her hands are never cold She's got Bette Davis eyes She'll turn the music on you You won't have to think twice She's pure as New York snow She got Bette Davis eyes And she'll tease you She'll unease you All the better just to please you She's precocious and she knows just What it takes to make a pro blush She got Greta Garbo's standoff sighs She's got Bette Davis eyes She'll let you take her home It whets her appetite She'll lay you on the throne She got Bette Davis eyes She'll take a tumble on you Roll you like you were dice Until you come out blue She's got Bette Davis eyes She'll expose you when she snows you Off your feet with the crumbs she throws you She's ferocious and she knows just What it takes to make a pro blush All the boys think she's a spy She's got Bette Davis eyes And she'll tease you She'll unease you All the better just to please you She's precocious and she knows just What it takes to make a pro blush All the boys think she's a spy She's got Bette Davis eyes She'll tease you She'll unease you Just to please you,501,1094,0.5420475319926874
6,7,Diana Ross and Lionel Richie,Endless Love,Pop,1981,1980's,Early 80's,My love There's only you in my life The only thing that's bright My first love You're every breath that I take You're every step I make And I I I I I I I want to share All my love with you No one else will doAnd your eyes Your eyes your eyes They tell me how much you care Ooh yes you will always be My endless love Two hearts Two hearts that beat as one Our lives have just begun Forever ohhhhhh I'll hold you close in my arms I can't resist your charms And love Oh love I'll be a fool For you I'm sure You know I don't mind Oh you know I don't mind 'cause you You mean the world to me Oh I know I know I've found in you My endless love,345,637,0.45839874411302983
7,8,Kenny Rogers,Lady,Country,1981,1980's,Early 80's,Lady I'm your knight in shining armor and I love you You have made me what I am and I am yours My love there's so many ways I want to say I love you Let me hold you in my arms forever more You have gone and made me such a fool I'm so lost in your love And oh we belong together Won't you believe in my song Lady for so many years I thought I'd never find you You have come into my life and made me whole Forever let me wake to see you each and every morning Let me hear you whisper softly in my ear In my eyes I see no one else but you There's no other love like our love And yes oh yes I'll always want you near me I've waited for you for so long Lady your love's the only love I need And beside me is where I want you to be 'Cause my love there's somethin' I want you to know You're the love of my life you're my lady,416,819,0.49206349206349204
8,9,John Lennon,(Just Like) Starting Over,Pop,1981,1980's,Early 80's,Our life together is so precious together We have grown   we have grown Although our love is still special Let's take our chance and fly away somewhere alone It's been so long since we took the time No one's to blame I know time flies so quickly But when I see you darling It's like we both are falling in love again It'll be just like starting over   starting over Everyday we used to make it love Why can't we be making love nice and easy It's time to spread our wings and fly Don't let another day go by my love It'll be just like starting over   starting over Why don't we take off alone Take a trip somewhere far far away We'll be together all alone again Like we used to in the early days Well well darling It's been so long since we took the time No one's to blame I know time flies so quickly But when I see you darling It's like we both are falling in love again It'll be just like starting over   starting over Our life together is so precious together We have grown   we have grown Although our love is still special Let's take a chance and fly away somewhere alone,524,1076,0.5130111524163569
9,10,Rick Springfield,Jessie's Girl,Rock,1981,1980's,Early 80's,Jessie is a friend Yeah I know he's been a good friend of mine But lately something's changed It ain't hard to define Jessie's got himself a girl and I want to make her mine And she's watching him with those eyes And she's lovin' him with that body I just know it And he's holding her in his arms late late at night You know I wish that I had Jessie's girl I wish that I had Jessie's girl Where can I find a woman like that? I play along with the charade That doesn't seem to be a reason to change You know I feel so dirty when they start talking cute I wanna tell her that I love her but the point is probably moot 'Cause she's watching him with those eyes And she's lovin' him with that body I just know it And he's holding her in his arms late late at night You know I wish that I had Jessie's girl I wish that I had Jessie's girl Where can I find a woman like that? Like Jessie's girl I wish that I had Jessie's girl Where can I find a womanWhere can I find a woman like that? And I'm lookin' in the mirror all the time Wonderin' what she don't see in me I've been funny; I've been cool with the lines Ain't that the way love's supposed to be? Tell me why can't I find a woman like that? You know I wish that I had Jessie's girl I wish that I had Jessie's girl I want Jessie's girl Where can I find a woman like that? Like Jessie's girl,609,1340,0.5455223880597015
